bank,date,novelty,n_added,dict_dh,dict_redline,rob_dh,rob_redline,rob_disp,r2,r5,r10,r30,src,alpha_r2,alpha_r5,alpha_r10,alpha_r30
ECB,2018-03-08,0.6938775510204082,34,-0.004615027829313528,-0.006372549019607862,-0.05379335496144886,-0.09071432197524554,0.7041964364999116,0.0,-2.0000000000000018,-3.000000000000025,-2.0000000000000018,daily,-0.6953712990370168,-0.7747168950510608,-0.27975581924997,0.21205440363744887
FOMC,2018-03-21,0.4545454545454546,10,0.0015151515151515214,-0.020833333333333315,0.05258402132084567,0.06542962840467226,0.5729832257930798,-0.81999999999999,1.52999999999998,2.4,2.47000000000001,usmpd,0.4235139600052231,0.38454507850243536,0.3751416056024387,0.2561993807350837
ECB,2018-04-26,0.5416666666666667,26,-0.0295705782312925,-0.052113010446343776,0.0023191738230577477,0.012206050936506063,0.7467405952955414,0.0,-2.0000000000000018,-2.9999999999999805,-2.9999999999999805,daily,-0.10860167656554494,-0.1505619242864706,0.08454508035852583,0.25829912744736383
FOMC,2018-05-02,0.4285714285714286,9,-0.0027056277056277077,-0.002777777777777782,-0.02441506031992933,-0.034015950030394954,0.4896397564462204,-1.6099999999999701,-1.8599999999999701,-1.1199999999999999,-0.41000000000001996,usmpd,-0.37600530332442583,-0.4494182947042912,-0.10392950066822486,0.22005812224042529
FOMC,2018-06-13,0.47058823529411764,8,0.1330532212885154,0.2708333333333333,0.10698489177817916,0.3176181629041821,0.5753678973528157,4.10999999999996,4.08000000000003,3.4899999999999904,2.08999999999996,usmpd,0.9330776364825067,0.9544703807065342,0.7097372847171015,0.2921200808137167
ECB,2018-06-14,0.8181818181818181,45,-0.0540719696969697,-0.06613060428849903,0.07881281987235772,0.10832553181363432,0.6959033806716082,0.0,-4.0000000000000036,-4.0000000000000036,-5.000000000000027,daily,0.6921133711490318,0.7349749631872047,0.6123738263755901,0.35153591023057745
ECB,2018-07-26,0.5217391304347826,24,0.02223320158102765,0.025568181818181823,-0.013265303781059015,-0.05760440494219493,0.72634430023806,2.9999999999999805,4.0000000000000036,4.0000000000000036,4.0000000000000036,daily,-0.29218014868786646,-0.36621846028732474,-0.0665348795965317,0.19775750876120027
FOMC,2018-08-01,0.5882352941176471,10,-0.02941176470588236,-0.04999999999999999,0.013676420300137548,0.023249550011678388,0.5824725720317234,0.0,-0.33999999999999997,-0.56000000000002,-0.48999999999996,usmpd,0.009896719641886029,-0.03510648531961405,0.14267167697483732,0.24999455016347263
ECB,2018-09-13,0.574468085106383,27,0.013775824853530683,0.025142450142450173,-0.04146573320652752,-0.07691569107475743,0.6814576129453533,1.9999999999999574,0.0,0.0,0.0,daily,-0.5820662506240747,-0.6538373250690559,-0.22452739409709363,0.20398615966402972
FOMC,2018-09-26,0.25,4,0.0392156862745098,0.1583333333333333,0.13340068120551757,0.4955684046712122,0.5521719200206044,-0.80999999999997,-0.5099999999999599,-0.19,0.32999999999998003,usmpd,1.2875205176530637,1.3227060110620377,0.9406526828642018,0.33733821605788444
